scen,num_agents,solver,LoS,solved,comp_time,ftime,map_size,resolution
3,100,Theta*,False,True,5912.67,148564.22,"(128000, 128000, 150)",12800.0
4,100,Theta*,False,True,6181.69,125331.36,"(128000, 128000, 150)",12800.0
3,50,Theta*,False,True,675.11,62584.08,"(128000, 128000, 150)",12800.0
1,50,Theta*,False,True,707.82,75516.37,"(128000, 128000, 150)",12800.0
2,50,Theta*,False,True,837.29,79758.73,"(128000, 128000, 150)",12800.0
0,50,Theta*,False,True,872.83,89524.58,"(128000, 128000, 150)",12800.0
4,50,Theta*,False,True,972.86,78091.35,"(128000, 128000, 150)",12800.0
0,1,Theta*,False,True,1.04,855.79,"(128000, 128000, 150)",12800.0
1,1,Theta*,False,True,1.2,2645.92,"(128000, 128000, 150)",12800.0
2,1,Theta*,False,True,1.28,1963.95,"(128000, 128000, 150)",12800.0
4,1,Theta*,False,True,1.41,3897.36,"(128000, 128000, 150)",12800.0
3,1,Theta*,False,True,10.08,593.1,"(128000, 128000, 150)",12800.0
4,200,Theta*,False,True,7285.35,14514.59,"(8000, 8000, 150)",800.0
1,200,Theta*,False,True,8314.35,15043.21,"(8000, 8000, 150)",800.0
0,200,Theta*,False,True,8732.18,14953.68,"(8000, 8000, 150)",800.0
2,200,Theta*,False,True,10033.91,15810.41,"(8000, 8000, 150)",800.0
3,200,Theta*,False,True,10200.57,14758.15,"(8000, 8000, 150)",800.0
2,100,Theta*,False,True,988.16,8184.88,"(8000, 8000, 150)",800.0
1,100,Theta*,False,True,1009.97,8041.72,"(8000, 8000, 150)",800.0
3,100,Theta*,False,True,1163.61,7447.04,"(8000, 8000, 150)",800.0
4,100,Theta*,False,True,1310.19,6587.39,"(8000, 8000, 150)",800.0
0,100,Theta*,False,True,1441.14,8911.76,"(8000, 8000, 150)",800.0
2,50,Theta*,False,True,196.62,4518.45,"(8000, 8000, 150)",800.0
3,50,Theta*,False,True,205.15,3808.3,"(8000, 8000, 150)",800.0
1,50,Theta*,False,True,209.73,4620.99,"(8000, 8000, 150)",800.0
4,50,Theta*,False,True,275.68,4362.54,"(8000, 8000, 150)",800.0
0,50,Theta*,False,True,279.51,4558.98,"(8000, 8000, 150)",800.0
0,1,Theta*,False,True,0.21,53.49,"(8000, 8000, 150)",800.0
1,1,Theta*,False,True,0.22,165.42,"(8000, 8000, 150)",800.0
2,1,Theta*,False,True,0.22,122.75,"(8000, 8000, 150)",800.0
4,1,Theta*,False,True,0.24,243.62,"(8000, 8000, 150)",800.0
3,1,Theta*,False,True,1.61,38.09,"(8000, 8000, 150)",800.0
1,100,Theta*,False,True,1219.89,625.49,"(350, 350, 150)",35.0
0,100,Theta*,False,True,1357.1,645.65,"(350, 350, 150)",35.0
2,100,Theta*,False,True,952.92,592.07,"(350, 350, 150)",35.0
4,100,Theta*,False,True,1227.4,614.51,"(350, 350, 150)",35.0
3,100,Theta*,False,False,inf,inf,"(350, 350, 150)",35.0
1,1,Theta*,False,True,0.16,8.36,"(350, 350, 150)",35.0
3,1,Theta*,False,True,0.16,3.14,"(350, 350, 150)",35.0
2,1,Theta*,False,True,0.17,6.35,"(350, 350, 150)",35.0
0,1,Theta*,False,True,0.17,2.51,"(350, 350, 150)",35.0
4,1,Theta*,False,True,2.44,6.87,"(350, 350, 150)",35.0
2,50,Theta*,False,True,156.32,306.31,"(350, 350, 150)",35.0
3,50,Theta*,False,True,189.32,281.94,"(350, 350, 150)",35.0
1,50,Theta*,False,True,256.71,337.93,"(350, 350, 150)",35.0
4,50,Theta*,False,True,264.67,314.96,"(350, 350, 150)",35.0
0,50,Theta*,False,True,285.95,371.05,"(350, 350, 150)",35.0

